date,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2022-11-14,1.0451225430548,0.0190934530647659,1.00803153671943,1.01391616371852,1.03218161147756,1.04500627192434,1.05793672531411,1.07672553400901,1.08287430586073
2022-11-15,1.03608478959058,0.0189062687270299,0.999357024187552,1.00518411286613,1.02327079693844,1.03596979258562,1.04877342187035,1.06737773177105,1.0734660707509
2022-11-16,1.01026586527888,0.0185811021717206,0.974172335735012,0.979898190977828,0.997671783202102,1.01015195122652,1.02273576754557,1.0410221109948,1.04700675623217
2022-11-17,0.977341432796525,0.0182333369515278,0.941928017791893,0.947544891026476,0.964982210572719,0.97722804774757,0.989577051915125,1.00752474152129,1.01339920286102
2022-11-18,0.999766787433696,0.0184694003590813,0.963891670812025,0.969582536628035,0.987248149315142,0.999653056960313,1.01216144587377,1.03033898345531,1.03628822218049
2022-11-19,0.990176863458298,0.0184088349212131,0.954421456442845,0.96009284185519,0.977698892894604,0.990062783414094,1.00253047328275,1.02065002270474,1.02658057513672
2022-11-20,0.977596717205109,0.0183051184507083,0.942045082261301,0.947683594188991,0.965188616629213,0.977482467503837,0.989880272110109,1.00789955659066,1.01379762091403
2022-11-21,0.974799317874076,0.0183235438483768,0.939213166797323,0.94485685160183,0.962378491994249,0.974684509549954,0.987094989126161,1.00513340603584,1.01103791228704
2022-11-22,0.973230314161219,0.0183688425611486,0.937557534528611,0.943214638270113,0.96077853209437,0.973114751500673,0.985556119293176,1.00364018505959,1.00955982391863
2022-11-23,0.974777276581131,0.0184473926641619,0.938952841191956,0.944633783479885,0.96227208200153,0.974660908435343,0.987155616157621,1.00531771227883,1.01126301956478
2022-11-24,0.972715226503233,0.0184913373738618,0.936806955494631,0.942500835032219,0.960179963301682,0.972598055439146,0.985122759435789,1.0033292994066,1.00928936797697
2022-11-25,0.973165562367465,0.0185603630064929,0.937124350411051,0.942839048891495,0.960583302626564,0.973047569547018,0.985619196035275,1.00389456036835,1.00987731472134
2022-11-26,0.970916867183038,0.0186056653783844,0.934789297028267,0.94051730576382,0.958303597404301,0.970798023074005,0.983400582894472,1.00172181695931,1.00771981548629
2022-11-27,0.959851248590383,0.0185683126239017,0.923799431229236,0.929514664089886,0.94726270322361,0.95973151663987,0.972309272059733,0.990596249973005,0.996583489546296
2022-11-28,0.962740645396795,0.0186837347041949,0.926465828908287,0.932216151825042,0.950073644268806,0.962619784134,0.975275893551705,0.993677408045624,0.999702303217594
2022-11-29,0.953936806056506,0.0186932795814501,0.917646829718675,0.923398755251858,0.941262708478682,0.953814704764788,0.966477798907246,0.984891355808871,0.990920670610613
2022-11-30,0.934526868688769,0.0186045476799808,0.898414688776863,0.904137119067694,0.921911905008813,0.934403411898111,0.947007250028001,0.965337741018404,0.971340639859036
