Date,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2021-12-09,1.12688724612513,0.106133300189966,0.928493013573538,0.95817820331201,1.05360211596829,1.12355702914504,1.19654277832937,1.30695647126011,1.34420469828976
2021-12-10,1.11285596238497,0.1042845322484,0.917869319411294,0.947055844484342,1.0408552259648,1.10960019924359,1.18130824047246,1.28976227727813,1.32634277850282
2021-12-11,1.10286143039077,0.102833234560388,0.91054145140372,0.939339700227302,1.03187030712765,1.0996669496844,1.1703708798788,1.27728030338076,1.31333337843508
2021-12-12,1.09563528355814,0.101655669283037,0.905471922591224,0.93395783540109,1.02546450183225,1.09249294018513,1.16238120918949,1.26803201678979,1.30365437351741
2021-12-13,1.07970559158284,0.100177674257208,0.892307059214133,0.920378808822516,1.01055503890154,1.07660893545882,1.14548108293568,1.2495958092804,1.28470024441621
2021-12-14,1.06707156779273,0.0990054592296385,0.881865853109356,0.909609125070548,0.99873017062056,1.06401114675672,1.13207739644396,1.23497383889741,1.26966750440111
2021-12-15,1.05819921205911,0.0981822607860017,0.874533423125952,0.902046018733763,0.990426051550105,1.05516423743639,1.122664538223,1.22470542996297,1.25911062883392
2021-12-16,1.05193208825761,0.0976007820091851,0.86935404936644,0.896703703213561,0.98456031038289,1.04891508809706,1.11601562224536,1.21745218268923,1.2516536187542
2021-12-17,1.04748695651876,0.0971883520256443,0.865680434576781,0.892914517451479,0.980399870433056,1.04448270524506,1.11129969379439,1.21230761547028,1.24636452710191
2021-12-18,1.04432491371235,0.0968949701105026,0.863067210064755,0.890219081571276,0.977440343024705,1.04132973135456,1.1079450198477,1.20864802949568,1.2426021337255
2021-12-19,1.04207092585048,0.0966858397109141,0.861204434419055,0.888297703484899,0.975330713502372,1.03908220805616,1.10555371940704,1.20603937968566,1.23992020007652
2021-12-20,1.04046184722239,0.0965365455367282,0.859874634675616,0.886926068585007,0.973824689519276,1.03747774435571,1.10384661596718,1.204177114707,1.23800561917326
2021-12-21,1.03931194456212,0.0964298548100841,0.858924314264974,0.885945851339705,0.97274843323549,1.0363311396807,1.1026266614214,1.20284627641502,1.23663739413097
2021-12-22,1.0384895651512,0.0963535524760166,0.858244670703394,0.885244826367223,0.97197872372942,1.03551111889999,1.10175418278875,1.20189449671364,1.23565887643276
